"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"15","Minnesota Wild","3","45.0222","2","0","1","2","5","0.833","63.97","47.53","57.37","47.98","34.21","58.38","35.09","23.54","59.85","3.11","2.22","58.33","3.41","2.26","60.17","38.2","21.77","63.70","22.66","11.55","66.23","2.67","1.78","60.00","11.76","84.62","14.66","11.11","56.90","10.22","7.55","57.50","0.89","1.78","33.33","8.70","76.47","23.54","10.66","68.83","12.44","4","75.68","1.78","0","100.00","14.29","100.00","21.77","21.32","50.52","11.99","11.55","50.94","0.44","0.44","50.00","3.70","96.15","8.86","90.57","0.994"
"16","Montreal Canadiens","3","47.3222","1","2","0","1","2","0.333","56.21","51.56","52.16","41.42","35.92","53.55","32.12","26.63","54.68","2.96","4.23","41.18","3.38","2.43","58.23","25.78","27.89","48.03","15.21","16.91","47.37","2.11","2.54","45.45","13.89","85.00","12.68","11.41","52.63","9.72","8.88","52.27","1.27","1.69","42.86","13.04","80.95","13.1","16.48","44.29","5.49","8.03","40.63","0.85","0.85","50.00","15.38","89.47","26.2","16.91","60.78","16.06","8.03","66.67","0.85","1.69","33.33","5.26","78.95","9.21","84.13","0.933"
"17","New Jersey Devils","3","53.0333","1","1","1","1","3","0.500","60.72","64.11","48.64","43.37","50.53","46.18","35.45","33.94","51.09","3.77","3.02","55.56","3.05","3.37","47.57","34.32","31.68","52.00","22.25","17.72","55.66","3.39","2.26","60.00","15.25","87.23","14.71","14.33","50.65","11.69","9.81","54.39","2.26","1.13","66.67","19.35","88.46","19.61","17.35","53.06","10.56","7.92","57.14","1.13","1.13","50.00","10.71","85.71","19.99","28.66","41.09","10.94","15.08","42.03","0.38","0.75","33.33","3.45","95.00","10.64","91.11","1.017"
"18","Nashville Predators","3","46.5333","1","1","1","0","3","0.500","57.59","68.77","45.58","41.26","52.87","43.84","32.66","38.25","46.06","2.15","3.87","35.71","2.54","3.29","43.53","27.94","34.81","44.52","18.48","23.64","43.88","0.86","3.44","20.00","4.65","85.45","10.32","14.61","41.38","8.6","11.6","42.55","0.86","2.58","25.00","10.00","77.78","17.62","20.2","46.59","9.89","12.03","45.10","0","0.86","0.00","0.00","92.86","27.51","31.38","46.72","13.32","13.75","49.21","1.29","0.43","75.00","9.68","96.88","6.58","89.89","0.965"
"19","New York Islanders","3","47.7611","1","2","0","1","2","0.333","50.25","66.16","43.17","35.59","48.16","42.50","25.13","34.34","42.25","2.09","2.93","41.67","1.9","2.82","40.27","24.29","30.99","43.94","12.56","16.33","43.48","1.26","2.51","33.33","10.00","84.62","7.54","13.4","36.00","5.03","9.63","34.29","1.26","1.26","50.00","25.00","86.96","16.75","17.59","48.78","7.54","6.7","52.94","0","1.26","0.00","0.00","81.25","22.19","31.83","41.09","11.73","17.17","40.58","0.84","0.42","66.67","7.14","97.56","8.33","91.46","0.998"
"20","New York Rangers","3","50.4167","2","1","0","2","4","0.667","44.03","53.16","45.31","31.74","39.27","44.69","24.99","28.96","46.32","2.78","1.98","58.33","1.89","2.43","43.71","24.2","28.96","45.52","14.68","14.68","50.00","2.78","1.98","58.33","18.92","86.49","7.93","10.71","42.55","5.95","6.74","46.88","1.59","1.19","57.14","26.67","82.35","16.26","18.25","47.13","8.73","7.93","52.38","1.19","0.79","60.00","13.64","90.00","17.06","22.21","43.43","9.12","12.69","41.82","0","0","-","0.00","100.00","11.11","93.15","1.043"
"21","Ottawa Senators","3","49.4056","2","1","0","0","4","0.667","48.58","56.67","46.15","35.62","40.89","46.56","23.88","28.34","45.74","2.43","1.21","66.67","2.84","2.75","50.77","27.93","31.58","46.94","15.38","17.41","46.91","1.62","1.21","57.14","10.53","93.02","12.95","11.74","52.46","10.12","8.1","55.56","1.62","0.81","66.67","16.00","90.00","14.98","19.84","43.02","5.26","9.31","36.11","0","0.4","0.00","0.00","95.65","17","19.84","46.15","6.88","10.53","39.53","0.81","0","100.00","11.76","100.00","10.17","95.71","1.059"
"22","Philadelphia Flyers","3","45.1944","1","2","0","1","2","0.333","58.41","53.1","52.38","41.16","40.71","50.27","31.42","29.21","51.82","3.1","3.1","50.00","2.43","2.64","48.03","23.01","31.86","41.94","15.93","18.14","46.75","2.66","2.21","54.55","16.67","87.80","8.85","11.95","42.55","7.97","7.52","51.43","1.77","1.33","57.14","22.22","82.35","14.16","19.91","41.56","7.97","10.62","42.86","0.89","0.89","50.00","11.11","91.67","23.9","18.59","56.25","11.06","10.18","52.08","0.44","0.89","33.33","4.00","91.30","9.86","89.39","0.993"
"23","Pittsburgh Penguins","3","50.6944","1","2","0","1","2","0.333","54.44","51.29","51.49","44.19","39.85","52.58","32.75","33.53","49.40","2.76","1.97","58.33","2.32","2.3","50.12","28.8","23.28","55.30","19.33","15.78","55.06","2.37","1.97","54.55","12.24","87.50","13.02","11.84","52.38","10.65","9.47","52.94","1.97","1.58","55.56","18.52","83.33","15.78","11.44","57.97","8.68","6.31","57.89","0.39","0.39","50.00","4.55","93.75","24.07","23.28","50.83","12.62","14.6","46.38","0.39","0","100.00","3.13","100.00","8.43","94.12","1.026"
"24","San Jose Sharks","3","49.8167","1","0","2","0","4","0.667","62.23","64.24","49.21","48.18","43.76","52.40","32.92","30.91","51.57","3.21","4.01","44.44","3.06","2.64","53.73","32.12","27.3","54.05","16.46","15.66","51.25","2.41","2.81","46.15","14.63","82.05","12.45","13.25","48.44","7.63","8.03","48.72","1.61","1.2","57.14","21.05","85.00","19.67","14.05","58.33","8.83","7.63","53.66","0.8","1.61","33.33","9.09","78.95","24.49","31.72","43.57","14.85","13.65","52.11","0.8","1.2","40.00","5.41","91.18","9.76","87.01","0.968"
"25","St Louis Blues","3","50.0444","2","1","0","2","4","0.667","57.15","53.55","51.62","42.76","43.16","49.77","32.37","27.18","54.36","4","4.4","47.62","3.38","2.42","58.30","29.97","24.38","55.15","19.58","15.59","55.68","2.8","3.2","46.67","14.29","79.49","14.79","11.99","55.22","12.39","8.79","58.49","2","2.4","45.45","16.13","72.73","15.19","12.39","55.07","7.19","6.79","51.43","0.8","0.8","50.00","11.11","88.24","24.38","24.38","50.00","12.39","11.19","52.54","1.2","1.2","50.00","9.68","89.29","12.35","83.82","0.962"
"26","Tampa Bay Lightning","3","42.7556","1","2","0","1","2","0.333","48.65","69.7","41.11","32.28","54.26","37.30","23.39","37.42","38.46","1.87","3.27","36.36","2.5","3.42","42.25","25.73","34.15","42.97","14.5","19.65","42.47","0.94","2.81","25.00","6.45","85.71","9.82","12.63","43.75","6.55","9.36","41.18","0","1.87","0.00","0.00","80.00","15.9","21.52","42.50","7.95","10.29","43.59","0.94","0.94","50.00","11.76","90.91","19.18","31.34","37.96","8.42","16.37","33.96","0.94","0.47","66.67","11.11","97.14","8.00","91.25","0.993"
"27","Toronto Maple Leafs","3","53.2389","2","0","1","1","5","0.833","58.98","55.22","51.64","43.58","41.32","51.33","32.31","30.05","51.81","3.01","3.01","50.00","2.75","2.07","57.13","33.43","25.92","56.33","19.53","14.65","57.14","1.88","2.63","41.67","9.62","82.05","13.9","9.77","58.73","10.14","6.76","60.00","1.13","2.25","33.33","11.11","66.67","19.53","16.15","54.74","9.39","7.89","54.35","0.75","0.38","66.67","8.00","95.24","22.92","24.04","48.80","11.65","13.52","46.27","1.13","0.38","75.00","9.68","97.22","9.30","90.00","0.993"
"28","Vancouver Canucks","3","51.0722","1","2","0","1","2","0.333","44.64","55.22","44.71","37.59","42.29","47.06","26.24","29.76","46.85","3.13","3.92","44.44","2.52","2.22","53.14","23.5","28.2","45.45","13.71","16.45","45.45","2.74","3.13","46.67","20.00","80.95","12.14","11.36","51.67","7.44","6.66","52.78","2.74","2.35","53.85","36.84","64.71","11.36","16.84","40.28","6.27","9.79","39.02","0","0.78","0.00","0.00","92.00","19.58","24.67","44.25","11.75","12.92","47.62","0.39","0.78","33.33","3.33","93.94","11.94","86.84","0.988"
"29","Vegas Golden Knights","3","53.6889","0","1","2","0","2","0.333","67.43","60.35","52.77","48.05","43.21","52.65","36.51","33.15","52.41","1.49","2.98","33.33","2.27","3.06","42.56","26.45","29.43","47.33","12.67","18.63","40.48","0.37","2.61","12.50","2.94","86.00","8.94","12.67","41.38","5.96","9.69","38.10","0.37","1.49","20.00","6.25","84.62","17.51","16.76","51.09","6.71","8.94","42.86","0","1.12","0.00","0.00","87.50","35.02","26.82","56.63","20.86","13.41","60.87","1.12","0.37","75.00","5.36","97.22","4.08","91.01","0.951"
"30","Winnipeg Jets","3","49.2056","0","3","0","0","0","0.000","44.3","59.34","42.75","34.55","46.34","42.71","25.61","35.36","42.00","1.63","3.25","33.33","2.3","2.72","45.84","25.2","31.7","44.29","15.45","18.7","45.24","1.63","2.44","40.00","10.53","86.96","10.16","13.82","42.37","8.13","10.57","43.48","1.63","1.22","57.14","20.00","88.46","15.04","17.88","45.68","7.32","8.13","47.37","0","1.22","0.00","0.00","85.00","16.66","23.98","41.00","9.35","15.45","37.70","0","0.81","0.00","0.00","94.74","6.35","90.80","0.972"
"31","Washington Capitals","3","49.9778","1","1","1","1","3","0.500","52.82","48.02","52.38","41.62","34.02","55.03","28.01","25.21","52.63","2","1.6","55.56","2.36","2.21","51.59","24.01","21.21","53.10","14.01","15.21","47.95","1.2","0.8","60.00","8.57","94.74","10","10","50.00","6.4","7.6","45.71","0.8","0","100.00","12.50","100.00","14.01","11.2","55.56","7.6","7.6","50.00","0.4","0.8","33.33","5.26","89.47","27.21","19.61","58.12","13.61","7.2","65.38","0.8","0.8","50.00","5.88","88.89","7.14","93.65","1.008"
"32","Seattle Kraken","3","47.8444","0","3","0","0","0","0.000","57.69","51.83","52.67","41.8","38.88","51.81","28.84","30.52","48.59","2.09","3.76","35.71","2.19","2.72","44.60","27.59","29.26","48.53","16.72","20.48","44.94","2.09","3.76","35.71","12.50","81.63","10.03","13.38","42.86","7.94","11.7","40.43","1.25","2.51","33.33","15.79","78.57","17.56","15.88","52.50","8.78","8.78","50.00","0.84","1.25","40.00","9.52","85.71","25.5","17.14","59.80","11.29","7.52","60.00","0","0","-","0.00","100.00","7.25","87.67","0.949"
