,Edge,Min Odds Away,Min Odds Home,Max Odds Away,Max Odds Home,Profit,Percentage
74,4.0,-1000.0,-1000.0,0.0,500.0,-544.8,0.31
75,4.0,-1000.0,-1000.0,0.0,400.0,-544.8,0.31
76,4.0,-1000.0,-1000.0,0.0,300.0,-588.8,0.31
77,4.0,-1000.0,-1000.0,0.0,200.0,-555.8,0.31
78,4.0,-1000.0,-1000.0,0.0,150.0,-183.79999999999995,0.39
79,4.0,-1000.0,-1000.0,0.0,125.0,-81.79999999999995,0.45
80,4.0,-1000.0,-1000.0,0.0,0.0,-24.799999999999955,0.55
81,4.0,-1000.0,-600.0,1000.0,1000.0,-455.79999999999995,0.34
82,4.0,-1000.0,-600.0,1000.0,600.0,-455.79999999999995,0.34
83,4.0,-1000.0,-600.0,1000.0,500.0,-455.79999999999995,0.34
84,4.0,-1000.0,-600.0,1000.0,400.0,-455.79999999999995,0.34
85,4.0,-1000.0,-600.0,1000.0,300.0,-499.8,0.34
86,4.0,-1000.0,-600.0,1000.0,200.0,-466.79999999999995,0.34
87,4.0,-1000.0,-600.0,1000.0,150.0,-94.79999999999995,0.36
88,4.0,-1000.0,-600.0,1000.0,125.0,7.2000000000000455,0.36
89,4.0,-1000.0,-600.0,1000.0,0.0,64.20000000000005,0.36
90,4.0,-1000.0,-600.0,600.0,1000.0,-716.8,0.33
91,4.0,-1000.0,-600.0,600.0,600.0,-716.8,0.33
92,4.0,-1000.0,-600.0,600.0,500.0,-716.8,0.33
93,4.0,-1000.0,-600.0,600.0,400.0,-716.8,0.33
94,4.0,-1000.0,-600.0,600.0,300.0,-760.8,0.33
95,4.0,-1000.0,-600.0,600.0,200.0,-727.8,0.34
96,4.0,-1000.0,-600.0,600.0,150.0,-355.79999999999995,0.35
97,4.0,-1000.0,-600.0,600.0,125.0,-253.79999999999995,0.35
98,4.0,-1000.0,-600.0,600.0,0.0,-196.79999999999995,0.35
99,4.0,-1000.0,-600.0,500.0,1000.0,-716.8,0.33
100,4.0,-1000.0,-600.0,500.0,600.0,-716.8,0.33
101,4.0,-1000.0,-600.0,500.0,500.0,-716.8,0.33
102,4.0,-1000.0,-600.0,500.0,400.0,-716.8,0.33
103,4.0,-1000.0,-600.0,500.0,300.0,-760.8,0.33
104,4.0,-1000.0,-600.0,500.0,200.0,-727.8,0.34
105,4.0,-1000.0,-600.0,500.0,150.0,-355.79999999999995,0.35
106,4.0,-1000.0,-600.0,500.0,125.0,-253.79999999999995,0.35
107,4.0,-1000.0,-600.0,500.0,0.0,-196.79999999999995,0.35
108,4.0,-1000.0,-600.0,400.0,1000.0,-812.8,0.33
109,4.0,-1000.0,-600.0,400.0,600.0,-812.8,0.33
110,4.0,-1000.0,-600.0,400.0,500.0,-812.8,0.33
111,4.0,-1000.0,-600.0,400.0,400.0,-812.8,0.33
112,4.0,-1000.0,-600.0,400.0,300.0,-856.8,0.33
113,4.0,-1000.0,-600.0,400.0,200.0,-823.8,0.34
114,4.0,-1000.0,-600.0,400.0,150.0,-451.79999999999995,0.35
115,4.0,-1000.0,-600.0,400.0,125.0,-349.79999999999995,0.35
116,4.0,-1000.0,-600.0,400.0,0.0,-292.79999999999995,0.35
117,4.0,-1000.0,-600.0,300.0,1000.0,-762.8,0.34
118,4.0,-1000.0,-600.0,300.0,600.0,-762.8,0.34
119,4.0,-1000.0,-600.0,300.0,500.0,-762.8,0.34
120,4.0,-1000.0,-600.0,300.0,400.0,-762.8,0.34
121,4.0,-1000.0,-600.0,300.0,300.0,-806.8,0.34
122,4.0,-1000.0,-600.0,300.0,200.0,-773.8,0.34
123,4.0,-1000.0,-600.0,300.0,150.0,-401.79999999999995,0.36
124,4.0,-1000.0,-600.0,300.0,125.0,-299.79999999999995,0.36
125,4.0,-1000.0,-600.0,300.0,0.0,-242.79999999999995,0.36
126,4.0,-1000.0,-600.0,200.0,1000.0,-658.8,0.36
127,4.0,-1000.0,-600.0,200.0,600.0,-658.8,0.36
128,4.0,-1000.0,-600.0,200.0,500.0,-658.8,0.36
129,4.0,-1000.0,-600.0,200.0,400.0,-658.8,0.36
130,4.0,-1000.0,-600.0,200.0,300.0,-702.8,0.36
131,4.0,-1000.0,-600.0,200.0,200.0,-669.8,0.37
132,4.0,-1000.0,-600.0,200.0,150.0,-297.79999999999995,0.4
133,4.0,-1000.0,-600.0,200.0,125.0,-195.79999999999995,0.41
134,4.0,-1000.0,-600.0,200.0,0.0,-138.79999999999995,0.41
135,4.0,-1000.0,-600.0,150.0,1000.0,-338.79999999999995,0.38
136,4.0,-1000.0,-600.0,150.0,600.0,-338.79999999999995,0.38
137,4.0,-1000.0,-600.0,150.0,500.0,-338.79999999999995,0.38
138,4.0,-1000.0,-600.0,150.0,400.0,-338.79999999999995,0.38
139,4.0,-1000.0,-600.0,150.0,300.0,-382.79999999999995,0.38
