"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"28","Minnesota Wild","28","46.9202","21","5","2","21","44","0.786","48.59","54.62","47.08","37.63","39.96","48.50","27.13","28.54","48.73","3.24","2.1","60.68","2.14","1.76","54.79","21.92","21.1","50.96","14.39","13.2","52.15","2.74","1.74","61.22","19.05","86.85","10.09","6.26","61.73","7.4","4.93","60.00","1.64","0.96","63.16","22.22","80.56","11.83","14.84","44.35","6.99","8.27","45.81","1.1","0.78","58.54","15.69","90.61","23.15","28.09","45.19","12.1","14.25","45.93","0.46","0.37","55.56","3.77","97.44","11.95","92.64","1.046"
"30","Montreal Canadiens","28","49.5262","13","11","4","12","30","0.536","59.67","47.42","55.72","42.27","34.09","55.35","30.94","25.05","55.26","2.16","2.25","49.02","2.29","1.92","54.49","29.51","21.59","57.75","15.53","12.29","55.83","1.9","1.99","48.89","12.26","83.80","11.03","9.48","53.80","7.74","6.58","54.08","1.38","1.3","51.61","17.88","80.26","18.48","12.11","60.40","7.79","5.71","57.69","0.52","0.69","42.86","6.67","87.88","25.83","21.03","55.12","14.11","11.03","56.11","0.26","0.26","50.00","1.84","97.65","6.99","91.02","0.980"
"11","Nashville Predators","28","48.4589","18","10","0","16","36","0.643","53.37","54.43","49.51","42.5","41.48","50.61","29.54","31.53","48.37","2.56","1.81","58.59","2.08","2.17","48.95","24.54","23.92","50.64","15.03","15.17","49.78","2.12","1.55","57.83","14.12","89.80","9.15","9.11","50.12","7.34","7.43","49.70","1.37","1.02","57.41","18.67","86.31","15.39","14.81","50.95","7.69","7.74","49.86","0.75","0.53","58.62","9.77","93.14","25.82","26.27","49.58","13.4","14.59","47.87","0.44","0.27","62.50","3.30","98.18","8.68","94.25","1.029"
"7","New Jersey Devils","28","49.0679","7","18","3","7","17","0.304","52.45","48.13","52.15","40.09","39.13","50.61","27.47","28.6","48.99","1.97","2.75","41.67","2.22","2.37","48.44","24.54","24.02","50.54","14.37","16.03","47.27","1.53","2.31","39.77","10.64","85.56","8.21","9.35","46.77","6.24","7.82","44.41","1","1.7","37.10","16.08","78.21","16.33","14.67","52.68","8.12","8.21","49.73","0.52","0.61","46.15","6.45","92.55","25.42","21.88","53.74","12.45","11.88","51.17","0.44","0.44","50.00","3.51","96.32","7.15","90.38","0.975"
"19","New York Islanders","28","51.1875","21","4","3","18","45","0.804","51.28","53.12","49.12","38.68","38.35","50.22","28.97","27.34","51.45","3.1","2.01","60.66","2.6","2.04","55.98","29.14","26.37","52.49","18.88","15.11","55.54","2.89","1.63","63.89","15.30","89.20","13.61","8.71","60.98","11.01","6.45","63.07","2.34","1.09","68.29","21.29","83.12","15.53","17.67","46.78","7.87","8.67","47.59","0.54","0.54","50.00","6.91","93.72","19.17","23.36","45.08","8.96","11.14","44.58","0.21","0.38","35.71","2.34","96.62","10.69","92.65","1.033"
"8","New York Rangers","28","47.4202","14","11","3","14","31","0.554","49.48","57.39","46.30","38.09","43.11","46.91","28.29","31.09","47.64","2.85","2.26","55.75","2.23","2.43","47.79","23.68","27.02","46.70","14.28","15.91","47.31","2.3","1.99","53.68","16.14","87.50","9.94","11.88","45.55","7.73","8.72","46.98","1.58","1.49","51.47","20.47","82.90","13.74","15.14","47.57","6.55","7.18","47.70","0.72","0.5","59.26","11.03","93.08","21.87","26.57","45.15","12.47","13.69","47.67","0.54","0.27","66.67","4.35","98.02","10.06","92.73","1.028"
"16","Ottawa Senators","28","47.7964","14","10","4","13","32","0.571","55.82","57.52","49.25","43.22","42.64","50.34","30.62","30.71","49.93","2.47","2.2","52.88","2.27","2.12","51.76","25.24","23.99","51.28","14.62","13.76","51.50","2.15","1.61","57.14","14.72","88.27","10.09","8.47","54.35","7.17","6.19","53.69","1.43","0.94","60.38","20.00","84.78","15.15","15.51","49.42","7.44","7.58","49.55","0.72","0.67","51.61","9.64","91.12","26.09","28.6","47.70","14.35","15.51","48.05","0.27","0.49","35.29","1.88","96.82","8.05","92.85","1.009"
"1","Philadelphia Flyers","28","47.9244","12","12","4","10","28","0.500","56.74","51.06","52.63","41.9","38.45","52.14","30.05","28.48","51.34","2.37","2.73","46.49","2.17","2.07","51.19","24.46","21.86","52.80","14.22","13.73","50.88","2.1","2.33","47.47","14.78","83.06","8.32","8.81","48.56","6.39","7.15","47.19","1.34","1.48","47.62","20.98","79.38","16.14","13.06","55.28","7.82","6.57","54.35","0.76","0.85","47.22","9.71","87.07","28.53","25.31","52.99","14.58","13.46","51.99","0.27","0.4","40.00","1.84","97.01","7.89","90.42","0.983"
"18","Pittsburgh Penguins","28","49.7065","22","4","2","20","46","0.821","47.72","49.84","48.92","35.65","38.54","48.05","27.46","30.26","47.57","2.93","1.85","61.26","1.99","2.19","47.59","23.41","22.24","51.27","14.79","15.48","48.86","2.33","1.6","59.34","15.74","89.69","8.75","9.74","47.32","7.33","8.45","46.45","1.55","1.03","60.00","21.18","87.76","14.66","12.5","53.97","7.46","7.03","51.49","0.78","0.56","58.06","10.40","92.02","21.47","24.4","46.80","11.68","13.54","46.32","0.52","0.26","66.67","4.43","98.09","10.68","93.87","1.045"
"31","San Jose Sharks","28","48.6315","11","13","4","10","26","0.464","53.01","57.63","47.91","40.63","42.79","48.71","29.52","30.84","48.91","2.47","3.35","42.42","2.58","2.53","50.47","29.13","27.98","51.00","18.24","16.88","51.94","2.07","2.69","43.52","11.35","84.07","12.6","11.32","52.67","9.56","8.2","53.85","1.41","1.72","45.07","14.75","79.03","16.52","16.66","49.80","8.68","8.68","50.00","0.66","0.97","40.54","7.61","88.83","20.75","26","44.39","10.27","12.82","44.47","0.4","0.66","37.50","3.86","94.85","8.36","89.14","0.975"
"20","St Louis Blues","28","48.2637","12","11","5","12","29","0.518","49.46","53.23","48.16","37.25","39.6","48.47","29.39","28.55","50.73","2.31","2.53","47.71","2","2.39","45.58","23","25.4","47.52","15.01","15.36","49.42","2","2.26","46.88","13.31","85.26","7.5","10.21","42.36","5.99","7.24","45.30","1.2","1.6","42.86","20.00","77.91","15.5","15.18","50.51","9.01","8.13","52.59","0.8","0.67","54.55","8.87","91.80","21.36","23.22","47.91","12.52","11.9","51.27","0.31","0.27","53.85","2.48","97.76","7.85","91.14","0.990"
"2","Tampa Bay Lightning","28","47.7244","21","7","0","21","42","0.750","49.88","44.72","52.73","38.66","34.71","52.69","28.83","27.12","51.52","2.74","1.89","59.22","1.99","1.8","52.45","27.3","25.19","52.01","16.84","16.61","50.34","2.25","1.66","57.47","13.33","90.00","9.03","9.03","50.00","7.36","7.77","48.66","1.53","1.03","59.65","20.73","86.71","18.27","16.16","53.06","9.47","8.85","51.72","0.72","0.63","53.33","7.58","92.89","20.83","17.2","54.78","11.4","9.88","53.59","0.49","0.22","68.75","4.33","97.73","9.50","93.05","1.025"
"3","Toronto Maple Leafs","28","49.4423","18","7","3","18","39","0.696","56","48.97","53.34","43.73","37.01","54.16","30.25","26.05","53.73","3.16","2.04","60.83","2.72","1.93","58.48","33.29","24.23","57.87","19.81","13.09","60.21","2.82","1.52","65.00","14.22","88.41","12.53","7.63","62.15","9.36","5.37","63.53","1.69","0.95","63.93","18.06","82.26","20.76","16.6","55.57","10.45","7.71","57.52","1.13","0.56","66.67","10.79","92.70","20.85","21.71","48.98","9.79","11.57","45.84","0.35","0.52","40.00","3.54","95.51","10.46","92.18","1.026"
"22","Vancouver Canucks","28","47.2167","13","12","3","11","29","0.518","55","59.91","47.87","41.21","42.98","48.95","29.73","32.18","48.02","2.22","2.54","46.67","2.48","2.67","48.14","26.23","31","45.84","15.2","18.29","45.39","2","2.41","45.36","13.13","86.85","10.03","11.21","47.22","7.22","8.76","45.17","1.36","1.54","46.88","18.87","82.38","16.2","19.79","45.02","7.99","9.53","45.60","0.64","0.86","42.42","7.95","90.95","24.37","24.37","50.00","12.98","12.66","50.62","0.23","0.14","62.50","1.75","98.92","7.48","92.10","0.996"
"14","Vegas Golden Knights","28","48.644","21","5","2","20","44","0.786","59.82","53.7","52.70","43.39","37.36","53.74","30.35","27.05","52.88","2.78","2.16","56.25","2.7","2.46","52.27","30.18","26.92","52.85","17.31","14.63","54.21","2.29","1.85","55.32","13.23","87.35","11.81","10.13","53.82","8.59","7.53","53.28","1.32","1.32","50.00","15.38","82.46","18.37","16.78","52.26","8.72","7.09","55.15","0.97","0.53","64.71","11.11","92.55","24.4","21.81","52.81","11.37","10.75","51.39","0.48","0.31","61.11","4.26","97.13","9.14","92.02","1.012"
"26","Washington Capitals","28","49.1792","17","8","3","16","37","0.661","55.9","54.68","50.55","41.83","41.31","50.31","28.89","28.89","50.00","2.35","2.22","51.43","2.33","2.11","52.47","25.75","23.22","52.58","14.25","13.59","51.17","1.7","1.74","49.37","11.93","87.18","10.59","8.8","54.61","7.06","5.97","54.18","1.13","1.18","49.06","16.05","80.29","15.16","14.42","51.25","7.19","7.63","48.53","0.57","0.57","50.00","7.88","92.57","25.93","25.71","50.21","13.2","13.12","50.17","0.65","0.44","60.00","4.95","96.68","8.14","92.31","1.005"
