"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"22","Philadelphia Flyers","27","47.816","11","9","7","11","29","0.537","53.45","62.37","46.15","39.18","44.48","46.83","28.12","31.46","47.19","2.37","2.09","53.13","2.36","2.85","45.33","24.96","31.79","43.98","14.04","17.15","45.01","2","1.86","51.81","14.24","89.16","10.6","14.04","43.02","6.6","9.16","41.89","1.16","1.21","49.02","17.61","86.80","14.36","17.75","44.72","7.44","7.99","48.19","0.84","0.65","56.25","11.25","91.86","23.28","25.38","47.85","12.08","12.69","48.78","0.37","0.23","61.54","3.08","98.17","8.43","93.35","1.018"
"23","Pittsburgh Penguins","25","48.3873","10","10","5","10","25","0.500","55.55","58.18","48.84","41.56","43.9","48.64","29.07","32.24","47.41","2.33","2.58","47.47","2.56","2.65","49.16","25.05","28.52","46.76","14.09","16.76","45.66","1.69","2.13","44.16","11.97","87.28","10.66","12.45","46.14","7.04","9.32","43.03","1.09","1.54","41.51","15.49","83.51","14.38","16.07","47.23","7.04","7.44","48.63","0.6","0.6","50.00","8.45","92.00","24.9","24.35","50.55","12.5","13.44","48.18","0.64","0.45","59.09","5.16","96.68","8.02","92.00","1.000"
"24","San Jose Sharks","29","49.008","11","14","4","10","26","0.448","54.59","59.69","47.77","40.19","43.53","48.01","28.41","30.99","47.83","2.83","2.79","50.38","2.88","2.68","51.84","31.62","31.16","50.37","18.07","16.89","51.69","2.53","2.53","50.00","14.02","85.00","14.61","12.2","54.49","10.01","8.02","55.50","1.94","1.27","60.53","19.41","84.21","17.01","18.96","47.30","8.06","8.87","47.63","0.59","1.27","31.82","7.33","85.71","19.59","24.27","44.66","9.46","12.5","43.08","0.3","0.25","53.85","3.13","97.97","9.96","91.01","1.010"
"25","Seattle Kraken","26","48.9423","16","8","2","16","34","0.654","53.66","54.55","49.59","40.17","40.31","49.91","29.61","28.29","51.14","3.68","2.4","60.47","2.28","2.54","47.34","24.9","27.54","47.48","14.9","15.37","49.22","3.02","2.07","59.26","20.25","86.50","9.34","11.65","44.49","6.84","8.06","45.89","1.84","1.27","59.09","26.90","84.21","15.56","15.89","49.48","8.06","7.31","52.45","1.18","0.8","59.52","14.62","89.03","23.29","22.11","51.30","13.16","11.03","54.39","0.61","0.33","65.00","4.66","97.01","12.42","91.50","1.039"
"26","St Louis Blues","27","49.1642","13","13","1","11","27","0.500","49.63","61.43","44.69","37.38","46.24","44.70","27.39","32.86","45.46","2.49","3.07","44.72","2.37","2.95","44.52","26.67","30.74","46.46","16","18.03","47.01","2.31","2.44","48.57","14.41","86.47","10.67","13.42","44.28","7.82","9.09","46.26","1.36","1.76","43.48","17.34","80.60","16","17.31","48.03","8.18","8.95","47.76","0.95","0.68","58.33","11.60","92.42","19.07","25.18","43.11","9.76","13.24","42.44","0.18","0.63","22.22","1.85","95.22","9.08","90.65","0.997"
"27","Tampa Bay Lightning","24","46.7139","12","12","0","12","24","0.500","55.39","54.16","50.56","40.89","40.67","50.13","28.15","30.29","48.17","2.46","2.78","46.94","2.65","2.71","49.51","29.54","27.03","52.22","16.48","16.7","49.68","1.93","2.19","46.75","11.69","86.86","12.68","11.72","51.97","8.46","8.83","48.92","1.61","1.34","54.55","18.99","84.85","16.86","15.31","52.41","8.03","7.87","50.51","0.32","0.86","27.27","4.00","89.12","22.21","23.12","49.00","10.44","12.2","46.10","0.48","0.59","45.00","4.62","95.18","8.75","90.81","0.996"
"28","Toronto Maple Leafs","24","47.7326","12","8","4","12","28","0.583","56.15","57.66","49.33","41.38","41.74","49.78","29.49","29.43","50.04","2.83","2.25","55.67","2.83","2.66","51.54","31.22","29.28","51.60","16.86","16.13","51.11","2.36","2.04","53.57","13.98","87.34","12.99","12.57","50.82","8.69","8.8","49.70","1.47","1.15","56.00","16.87","86.90","18.23","16.71","52.17","8.17","7.33","52.70","0.89","0.89","50.00","10.90","87.86","21.79","24.67","46.90","11.47","12.31","48.24","0.47","0.21","69.23","4.11","98.30","9.59","92.35","1.019"
"29","Vancouver Canucks","28","47.9792","11","14","3","9","25","0.446","50.56","59.04","46.13","37.29","43.9","45.93","28.09","31.98","46.77","3.17","3.22","49.65","2.32","2.92","44.29","24.12","29.66","44.85","14.65","17.37","45.75","2.59","2.64","49.57","17.68","84.83","10.54","14.2","42.60","7.99","10","44.42","1.7","1.79","48.72","21.23","82.14","13.58","15.45","46.77","6.65","7.37","47.45","0.89","0.85","51.28","13.42","88.48","22.42","24.56","47.72","12.1","12.77","48.65","0.58","0.58","50.00","4.80","95.45","11.29","89.94","1.012"
"30","Vegas Golden Knights","26","49.7583","17","5","4","15","38","0.731","56.86","59.69","48.79","42.25","42.58","49.81","31.35","30.05","51.06","2.92","2.41","54.78","2.79","2.48","52.97","31.12","28.71","52.02","18.55","15.44","54.57","2.6","1.95","57.14","14.00","87.39","12.48","11.36","52.33","9.32","7.23","56.30","1.67","1.16","59.02","17.91","83.97","18.64","17.35","51.80","9.23","8.21","52.93","0.93","0.79","54.05","10.05","90.40","21.15","26.67","44.23","10.95","13.08","45.56","0.32","0.42","43.75","2.97","96.81","9.32","91.98","1.013"
"31","Winnipeg Jets","26","47.4282","14","11","1","14","29","0.558","55.27","56.05","49.65","40.58","42.33","48.94","27.44","31.77","46.34","2.53","2.58","49.52","2.4","2.68","47.23","28.46","28.56","49.91","15.23","17.27","46.86","2.04","2.24","47.73","13.42","87.04","10.51","11.77","47.16","6.71","8.22","44.95","1.17","1.41","45.28","17.39","82.84","17.95","16.79","51.68","8.51","9.05","48.48","0.88","0.83","51.43","10.29","90.86","22.24","23.4","48.72","10.75","13.48","44.38","0.49","0.34","58.82","4.52","97.47","9.22","91.88","1.011"
"32","Washington Capitals","28","47.9506","13","12","3","13","29","0.518","56.89","57.02","49.94","41.96","42.77","49.53","30.12","30.92","49.34","2.37","2.5","48.62","2.56","2.52","50.43","29.23","28.78","50.39","17.07","16.45","50.93","2.19","2.06","51.58","12.83","87.50","11.26","11.89","48.65","7.78","7.87","49.71","1.47","1.34","52.38","18.97","82.95","17.96","16.89","51.54","9.3","8.58","52.00","0.72","0.72","50.00","7.69","91.67","22.79","24.8","47.89","10.95","13.36","45.04","0.18","0.45","28.57","1.63","96.66","7.86","91.91","0.998"
